,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Seats,Price,Company
2886,Hyundai Santro Xing GLS,Hyderabad,2008,95291,Petrol,Manual,5.0,2.3,Hyundai
2887,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2009,135000,Diesel,Manual,8.0,8.2,Toyota
2888,Hyundai i20 Sportz 1.2,Kolkata,2015,32000,Petrol,Manual,5.0,4.8,Hyundai
2889,Mercedes-Benz E-Class 280 CDI,Mumbai,2008,68333,Diesel,Automatic,5.0,8.5,Mercedes-Benz
2890,Ford Figo Diesel ZXI,Chennai,2011,72000,Diesel,Manual,5.0,2.9,Ford
2891,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52100,Diesel,Manual,5.0,6.5,Toyota
2892,Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2018,10000,Petrol,Manual,5.0,5.85,Hyundai
2893,Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,6261,Diesel,Manual,5.0,23.91,Jeep
2894,Maruti Ignis 1.2 AMT Alpha,Coimbatore,2019,3906,Petrol,Automatic,5.0,7.36,Maruti
2895,Toyota Fortuner 3.0 Diesel,Pune,2014,55960,Diesel,Manual,7.0,17.25,Toyota
2896,Volkswagen Vento Diesel Highline,Jaipur,2013,144000,Diesel,Manual,5.0,7.0,Volkswagen
2897,Toyota Innova Crysta 2.4 VX MT,Mumbai,2017,38000,Diesel,Manual,7.0,17.65,Toyota
2898,Ford Figo Diesel Celebration Edition,Jaipur,2013,51000,Diesel,Manual,5.0,2.5,Ford
2899,Toyota Platinum Etios 1.4 GXD,Hyderabad,2015,150000,Diesel,Manual,5.0,6.0,Toyota
2900,Mahindra Thar DI 4X4,Mumbai,2018,2500,Diesel,Manual,7.0,8.25,Mahindra
2901,Land Rover Range Rover HSE Dynamic,Kochi,2018,41661,Diesel,Automatic,5.0,44.83,Land
2902,BMW 3 Series 320d Highline,Delhi,2011,64000,Diesel,Automatic,5.0,10.5,BMW
2903,Hyundai Accent GLS,Bangalore,2008,80000,Petrol,Manual,5.0,1.9,Hyundai
2904,Maruti Celerio ZXI AT,Jaipur,2016,30000,Petrol,Automatic,5.0,4.25,Maruti
2905,Jaguar XF 2.2 Litre Luxury,Chennai,2014,43000,Diesel,Automatic,5.0,26.5,Jaguar
2906,Audi A6 2.7 TDI,Bangalore,2013,90000,Diesel,Automatic,5.0,22.5,Audi
2907,Nissan Micra Diesel XV,Hyderabad,2011,123880,Diesel,Manual,5.0,3.3,Nissan
2908,Honda Amaze S i-Vtech,Jaipur,2015,42000,Petrol,Manual,5.0,4.3,Honda
2909,Renault Duster 85PS Diesel RxL Option,Chennai,2012,79824,Diesel,Manual,5.0,5.25,Renault
2910,Toyota Innova 2.5 G (Diesel) 8 Seater,Jaipur,2015,75000,Diesel,Manual,8.0,11.75,Toyota
2911,Honda Amaze E i-Vtech,Ahmedabad,2014,72411,Petrol,Manual,5.0,4.25,Honda
2912,Mercedes-Benz New C-Class C 250 CDI Elegance,Delhi,2012,63000,Diesel,Automatic,5.0,14.22,Mercedes-Benz
2913,Toyota Etios Liva G,Chennai,2015,53713,Petrol,Manual,5.0,4.2,Toyota
2914,Toyota Innova Crysta 2.8 GX AT 8S,Delhi,2017,18000,Diesel,Automatic,8.0,18.25,Toyota
2915,Mercedes-Benz New C-Class 200 CDI Elegance,Bangalore,2013,51000,Diesel,Manual,5.0,18.5,Mercedes-Benz
2916,Maruti Swift VXI BSIII,Chennai,2008,86700,Petrol,Manual,5.0,2.4,Maruti
2917,Maruti Baleno Alpha 1.3,Kolkata,2016,29000,Diesel,Manual,5.0,6.5,Maruti
2918,Hyundai Santro Xing GL Plus LPG,Hyderabad,2014,56000,LPG,Manual,5.0,3.2,Hyundai
2919,Maruti Celerio VXI AT,Mumbai,2015,33000,Petrol,Automatic,5.0,3.99,Maruti
2920,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,64394,Diesel,Manual,5.0,5.45,Ford
2921,Tata Manza Aura Quadrajet,Hyderabad,2010,76000,Diesel,Manual,5.0,2.7,Tata
2922,Honda Jazz 1.5 SV i DTEC,Mumbai,2016,48719,Diesel,Manual,5.0,6.25,Honda
2923,Mahindra XUV500 W8 2WD,Coimbatore,2016,59711,Diesel,Manual,7.0,13.28,Mahindra
2924,Nissan Micra Diesel XV Premium,Hyderabad,2012,83000,Diesel,Manual,5.0,3.7,Nissan
2925,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,10714,Diesel,Automatic,5.0,39.51,Mercedes-Benz
2926,Tata Manza Aura Plus Quadrajet BS IV,Hyderabad,2010,127510,Diesel,Manual,5.0,1.4,Tata
2927,Maruti Swift VDI,Kolkata,2014,35010,Diesel,Manual,5.0,3.5,Maruti
2928,Maruti Swift Dzire 1.2 Lxi BSIV,Jaipur,2012,75451,Petrol,Manual,5.0,3.78,Maruti
2929,Tata Indigo eCS LS (TDI) BS-III,Pune,2015,83000,Diesel,Manual,5.0,2.7,Tata
2930,Honda Amaze S i-Dtech,Kolkata,2013,38755,Diesel,Manual,5.0,3.2,Honda
2931,Maruti Swift VXI BSIV,Delhi,2016,30000,Petrol,Manual,5.0,5.0,Maruti
2932,Maruti Ertiga ZDI,Chennai,2012,40000,Diesel,Manual,7.0,7.0,Maruti
2933,Hyundai Grand i10 Era,Kolkata,2014,19500,Petrol,Manual,5.0,2.85,Hyundai
2934,Nissan Micra Active XV,Ahmedabad,2016,41000,Petrol,Manual,5.0,4.25,Nissan
2935,Hyundai Grand i10 Asta Option,Bangalore,2014,30000,Petrol,Manual,5.0,4.9,Hyundai
2936,Jeep Compass 2.0 Sport,Hyderabad,2017,37000,Diesel,Manual,5.0,16.9,Jeep
2937,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2014,62000,Diesel,Manual,5.0,4.25,Volkswagen
2938,Honda Amaze S AT i-Vtech,Pune,2015,42023,Petrol,Automatic,5.0,4.34,Honda
2939,BMW X3 xDrive20d Advantage Edition,Kolkata,2012,51001,Diesel,Automatic,5.0,17.0,BMW
2940,BMW 3 Series 320d Luxury Line,Kochi,2017,55389,Diesel,Automatic,5.0,28.45,BMW
2941,Honda City V AT,Kochi,2014,46728,Petrol,Automatic,5.0,6.15,Honda
2942,Mahindra Ssangyong Rexton RX5,Kochi,2014,58995,Diesel,Manual,7.0,9.25,Mahindra
2943,Maruti Swift Dzire LDI,Delhi,2015,37857,Diesel,Manual,5.0,4.85,Maruti
2944,Maruti Swift VDI BSIV,Jaipur,2014,71000,Diesel,Manual,5.0,4.8,Maruti
2945,Honda Brio S Option MT,Pune,2012,49024,Petrol,Manual,5.0,2.3,Honda
2946,Hyundai Grand i10 Sportz,Mumbai,2016,10770,Petrol,Manual,5.0,4.75,Hyundai
2947,Tata Zest Quadrajet 1.3 75PS XM,Pune,2017,72000,Diesel,Manual,5.0,5.0,Tata
2948,Hyundai EON Era Plus,Jaipur,2015,91000,Petrol,Manual,5.0,2.5,Hyundai
2949,Hyundai i20 1.2 Spotz,Mumbai,2017,14000,Petrol,Manual,5.0,5.95,Hyundai
2950,Volvo S60 D4 KINETIC,Delhi,2014,48000,Diesel,Automatic,5.0,16.0,Volvo
2951,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2014,75136,Diesel,Manual,5.0,6.15,Ford
2952,Maruti Ritz VXI,Hyderabad,2014,32500,Petrol,Manual,5.0,4.05,Maruti
2953,Hyundai i20 1.4 CRDi Magna,Hyderabad,2010,94500,Diesel,Manual,5.0,3.1,Hyundai
2954,Maruti Dzire VXI,Hyderabad,2013,34900,Petrol,Manual,5.0,5.49,Maruti
2955,Porsche Panamera 2010 2013 4S,Coimbatore,2010,42400,Petrol,Automatic,4.0,42.91,Porsche
2956,Maruti Swift VDi BSIII W/ ABS,Jaipur,2015,50000,Diesel,Manual,5.0,5.7,Maruti
2957,Honda Brio S MT,Kolkata,2014,35000,Petrol,Manual,5.0,2.85,Honda
2958,Chevrolet Beat LS,Bangalore,2012,37000,Petrol,Manual,5.0,2.35,Chevrolet
2959,Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2018,32807,Petrol,Automatic,5.0,14.76,Hyundai
2960,Honda City ZX GXi,Pune,2008,119000,Petrol,Manual,5.0,2.25,Honda
2961,Maruti Ritz LXi,Mumbai,2016,12000,Petrol,Manual,5.0,3.65,Maruti
2962,Ford EcoSport 1.5 TDCi Trend,Delhi,2016,46727,Diesel,Manual,5.0,7.25,Ford
2963,BMW 3 Series 320d,Hyderabad,2010,73336,Diesel,Automatic,5.0,10.69,BMW
2964,Hyundai Verna 1.6 SX VTVT,Mumbai,2014,9000,Petrol,Manual,5.0,5.5,Hyundai
2965,Toyota Innova 2.5 G4 Diesel 8-seater,Chennai,2005,240000,Diesel,Manual,8.0,5.1,Toyota
2966,Maruti Wagon R LXI,Mumbai,2014,25422,Petrol,Manual,5.0,3.25,Maruti
2967,Maruti Ertiga VDI,Mumbai,2018,14000,Diesel,Manual,7.0,9.25,Maruti
2968,Maruti Alto LXi BSIII,Hyderabad,2008,66000,Petrol,Manual,5.0,1.7,Maruti
2969,Maruti A-Star Vxi,Kochi,2010,55324,Petrol,Manual,5.0,2.87,Maruti
2970,BMW X5 3.0d,Bangalore,2009,90000,Diesel,Automatic,5.0,17.75,BMW
2971,Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,2017,43000,Petrol,Manual,5.0,4.5,Mahindra
2972,Hyundai i10 Magna AT,Bangalore,2008,58483,Petrol,Automatic,5.0,2.95,Hyundai
2973,Honda Civic 2006-2010 1.8 S AT,Pune,2007,93000,Petrol,Automatic,5.0,2.6,Honda
2974,Hyundai i10 Sportz 1.2,Hyderabad,2010,50000,Petrol,Manual,5.0,3.0,Hyundai
2975,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Ahmedabad,2014,78616,Diesel,Automatic,5.0,15.5,Mercedes-Benz
2976,Toyota Etios G,Pune,2011,37000,Petrol,Manual,5.0,2.8,Toyota
2977,Honda City 1.5 E MT,Kolkata,2010,54801,Petrol,Manual,5.0,2.5,Honda
2978,Maruti Swift Dzire VDI,Bangalore,2014,29000,Diesel,Manual,5.0,5.75,Maruti
2979,Maruti Swift VXI,Pune,2010,68000,Petrol,Manual,5.0,2.8,Maruti
2980,Hyundai Verna 1.6 EX VTVT,Kolkata,2014,58000,Petrol,Manual,5.0,4.59,Hyundai
2981,Maruti Ritz VDi,Pune,2012,64290,Diesel,Manual,5.0,3.65,Maruti
2982,Toyota Fortuner 4x2 Manual,Mumbai,2015,31000,Diesel,Manual,7.0,19.85,Toyota
2983,Jeep Compass 2.0 Limited,Pune,2018,16039,Diesel,Manual,5.0,18.5,Jeep
2984,Hyundai i20 Asta Option 1.2,Hyderabad,2017,19860,Petrol,Manual,5.0,6.95,Hyundai
2985,Maruti Wagon R LXI CNG,Delhi,2014,48500,CNG,Manual,5.0,2.85,Maruti
2986,Tata New Safari DICOR 2.2 EX 4x4 BS IV,Jaipur,2012,75391,Diesel,Manual,7.0,3.75,Tata
2987,Maruti Swift Dzire LDi,Jaipur,2008,78000,Diesel,Manual,5.0,2.3,Maruti
2988,Tata Indigo eCS eLS BS IV,Kolkata,2016,78000,Diesel,Manual,5.0,2.3,Tata
2989,Maruti Swift LDI,Hyderabad,2016,52000,Diesel,Manual,5.0,5.95,Maruti
2990,Maruti Celerio VXI AT,Kolkata,2016,30000,Petrol,Automatic,5.0,3.49,Maruti
2991,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,19254,Diesel,Automatic,5.0,47.7,BMW
2992,Volkswagen Polo 1.2 MPI Highline,Coimbatore,2015,29651,Petrol,Manual,5.0,6.43,Volkswagen
2993,Tata Safari DICOR 2.2 LX 4x2,Bangalore,2011,80000,Diesel,Manual,7.0,4.5,Tata
2994,Mini Cooper S Carbon Edition,Kolkata,2018,2971,Petrol,Automatic,4.0,39.75,Mini
2995,Ford Figo Petrol Titanium,Kolkata,2015,21400,Petrol,Manual,5.0,4.0,Ford
2996,Honda City i DTEC V,Ahmedabad,2015,77000,Diesel,Manual,5.0,6.98,Honda
2997,Hyundai Tucson CRDi,Delhi,2006,80000,Diesel,Manual,7.0,1.75,Hyundai
2998,Skoda Laura Ambiente 2.0 TDI CR MT,Delhi,2013,81755,Diesel,Manual,5.0,4.75,Skoda
2999,Toyota Fortuner 3.0 Diesel,Hyderabad,2016,99593,Diesel,Manual,7.0,23.5,Toyota
3000,Hyundai Verna 1.6 SX,Hyderabad,2014,39791,Diesel,Manual,5.0,7.49,Hyundai
3001,Mahindra XUV500 W6 2WD,Hyderabad,2015,113000,Diesel,Manual,7.0,10.85,Mahindra
3002,Renault KWID RXT,Mumbai,2017,24000,Petrol,Manual,5.0,3.5,Renault
3003,Hyundai i20 Asta 1.2,Bangalore,2015,39000,Petrol,Manual,5.0,6.3,Hyundai
3004,Honda City V AT,Bangalore,2012,37000,Petrol,Automatic,5.0,6.75,Honda
3005,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,61108,Diesel,Automatic,7.0,28.88,Ford
3006,Skoda Superb Elegance 1.8 TSI AT,Kochi,2016,61648,Petrol,Automatic,5.0,14.23,Skoda
3007,BMW 3 Series 320d Sport,Mumbai,2012,37000,Diesel,Automatic,5.0,15.0,BMW
3008,Maruti Ertiga VXI CNG,Mumbai,2013,53000,CNG,Manual,7.0,5.8,Maruti
3009,Maruti Ritz LDi,Jaipur,2013,65000,Diesel,Manual,5.0,3.75,Maruti
3010,Hyundai Santro Xing XP,Jaipur,2005,120000,Petrol,Manual,5.0,1.15,Hyundai
3011,Toyota Fortuner 3.0 Diesel,Jaipur,2011,148009,Diesel,Manual,7.0,12.75,Toyota
3012,Maruti Swift Lxi BSIII,Mumbai,2009,53001,Petrol,Manual,5.0,1.95,Maruti
3013,Tata Tigor 1.2 Revotron XT,Mumbai,2018,22345,Petrol,Manual,5.0,4.95,Tata
3014,Honda City i VTEC CVT VX,Delhi,2015,50000,Petrol,Automatic,5.0,8.25,Honda
3015,BMW 3 Series 320d,Hyderabad,2013,48183,Diesel,Automatic,5.0,20.99,BMW
3016,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Hyderabad,2010,93000,Diesel,Automatic,5.0,17.5,Mercedes-Benz
3017,Maruti Swift VDI,Kochi,2015,53500,Diesel,Manual,5.0,5.36,Maruti
3018,Maruti Ertiga VXI,Delhi,2014,17585,Petrol,Manual,7.0,6.35,Maruti
3019,Hyundai Verna 1.6 VTVT,Kolkata,2011,36226,Petrol,Manual,5.0,2.95,Hyundai
3020,Land Rover Discovery Sport TD4 HSE,Coimbatore,2019,25899,Diesel,Automatic,5.0,55.7,Land
3021,Hyundai Santro Xing GL,Kolkata,2009,60170,Petrol,Manual,5.0,1.15,Hyundai
3022,Mercedes-Benz New C-Class C 220 CDI Style,Hyderabad,2017,11200,Diesel,Automatic,5.0,37.5,Mercedes-Benz
3023,Hyundai i10 Magna 1.2,Kochi,2017,49045,Petrol,Manual,5.0,4.07,Hyundai
3024,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,45000,Diesel,Manual,5.0,2.99,Volkswagen
3025,Maruti Vitara Brezza VDi Option,Delhi,2017,40000,Diesel,Manual,5.0,7.9,Maruti
3026,Renault Duster 85PS Diesel RxL,Mumbai,2016,36600,Diesel,Manual,5.0,7.49,Renault
3027,Tata Indica Vista Aqua 1.3 Quadrajet,Jaipur,2009,117000,Diesel,Manual,5.0,1.1,Tata
3028,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2016,16000,Diesel,Automatic,7.0,56.0,Mercedes-Benz
3029,Hyundai Xcent 1.2 CRDi S,Mumbai,2016,50000,Diesel,Manual,5.0,3.5,Hyundai
3030,Hyundai Verna CRDi SX ABS,Hyderabad,2008,150000,Diesel,Manual,5.0,3.0,Hyundai
3031,Hyundai Verna 1.6 SX VTVT,Mumbai,2014,11000,Petrol,Manual,5.0,6.1,Hyundai
3032,Ford Figo Petrol ZXI,Bangalore,2010,102016,Petrol,Manual,5.0,2.25,Ford
3033,Maruti Swift VDI Optional,Chennai,2016,38000,Diesel,Manual,5.0,5.95,Maruti
3034,Renault Pulse RxL,Hyderabad,2013,71491,Diesel,Manual,5.0,4.95,Renault
3035,Volkswagen Polo 1.2 MPI Highline,Bangalore,2015,46354,Petrol,Manual,5.0,5.49,Volkswagen
3036,BMW 3 Series 320d Luxury Line,Delhi,2019,87000,Diesel,Automatic,5.0,6.67,BMW
3037,Skoda Rapid 1.6 MPI Active,Ahmedabad,2015,20765,Petrol,Manual,5.0,6.25,Skoda
3038,Hyundai Santro GS,Ahmedabad,2005,58000,Petrol,Manual,5.0,1.51,Hyundai
3039,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2014,51076,Diesel,Automatic,7.0,34.88,Audi
3040,Maruti Ciaz VDi Plus,Jaipur,2016,84085,Diesel,Manual,5.0,6.9,Maruti
3041,Honda City i DTEC VX,Kolkata,2014,55000,Diesel,Manual,5.0,5.99,Honda
3042,Mercedes-Benz E-Class 2009-2013 E350 Petrol,Mumbai,2010,73000,Petrol,Automatic,5.0,10.4,Mercedes-Benz
3043,Audi A6 2011-2015 3.0 TDI Quattro Premium Plus,Pune,2012,50001,Diesel,Automatic,5.0,29.0,Audi
3044,Mahindra Xylo H4,Coimbatore,2016,93166,Diesel,Manual,7.0,5.85,Mahindra
3045,Honda City 1.5 EXI AT,Kochi,2006,99583,Petrol,Automatic,5.0,2.21,Honda
3046,Maruti SX4 ZXI MT BSIV,Mumbai,2010,72000,Petrol,Manual,5.0,2.4,Maruti
3047,Toyota Corolla Altis G,Pune,2009,70000,Petrol,Manual,5.0,3.0,Toyota
3048,Volkswagen Vento Petrol Highline AT,Pune,2012,61000,Petrol,Automatic,5.0,3.75,Volkswagen
3049,Hyundai EON Era Plus,Pune,2015,66510,Petrol,Manual,5.0,2.95,Hyundai
3050,Skoda Laura Ambition 2.0 TDI CR MT,Hyderabad,2011,84062,Diesel,Manual,5.0,5.8,Skoda
3051,Maruti Swift VDI,Hyderabad,2012,80799,Diesel,Manual,5.0,4.9,Maruti
3052,Toyota Corolla Altis 1.8 VL CVT,Kolkata,2018,5000,Petrol,Automatic,5.0,16.95,Toyota
3053,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2013,92000,Diesel,Manual,8.0,12.5,Toyota
3054,Tata Tiago Wizz 1.05 Revotorq,Hyderabad,2017,53000,Diesel,Manual,5.0,5.0,Tata
3055,Skoda Rapid 1.6 MPI Ambition,Mumbai,2015,39822,Petrol,Manual,5.0,4.68,Skoda
3056,Ford Endeavour 3.2 Titanium AT 4X4,Mumbai,2016,29000,Diesel,Automatic,7.0,29.8,Ford
3057,Renault KWID RXL,Kochi,2017,24214,Petrol,Manual,5.0,3.46,Renault
3058,Hyundai i20 1.4 Asta CRDi with AVN,Pune,2012,75000,Diesel,Manual,5.0,4.0,Hyundai
3059,Skoda Laura Ambiente,Chennai,2012,77216,Diesel,Manual,5.0,4.5,Skoda
3060,Toyota Corolla Altis Diesel D4DG,Kochi,2013,74290,Diesel,Manual,5.0,5.87,Toyota
3061,Mahindra Scorpio S8 8 Seater,Delhi,2015,61000,Diesel,Manual,8.0,9.5,Mahindra
3062,Audi Q5 2.0 TDI Premium Plus,Chennai,2013,44000,Diesel,Automatic,5.0,32.5,Audi
3063,Chevrolet Enjoy TCDi LS 8 Seater,Coimbatore,2014,74041,Diesel,Manual,8.0,3.88,Chevrolet
3064,BMW 3 Series 320d,Coimbatore,2013,85846,Diesel,Automatic,5.0,13.08,BMW
3065,Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,52000,Diesel,Manual,5.0,3.5,Nissan
3066,Honda Accord 2.4 MT,Mumbai,2010,47000,Petrol,Manual,5.0,3.5,Honda
3067,Hyundai Verna CRDi,Bangalore,2010,72010,Diesel,Manual,5.0,4.45,Hyundai
3068,Maruti Omni E MPI STD BS IV,Jaipur,2015,15000,Petrol,Manual,8.0,2.35,Maruti
3069,Honda City i VTEC SV,Kolkata,2015,480000,Petrol,Manual,5.0,5.0,Honda
3070,Audi A7 2011-2015 Sportback,Kolkata,2012,24720,Diesel,Automatic,5.0,28.0,Audi
3071,Ford Fiesta 1.4 ZXi Leather,Chennai,2007,75000,Petrol,Manual,5.0,2.0,Ford
3072,Hyundai i20 1.4 Asta,Mumbai,2015,57000,Diesel,Manual,5.0,6.35,Hyundai
3073,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,41057,Diesel,Automatic,5.0,24.63,Mercedes-Benz
3074,Maruti Wagon R LXI CNG,Pune,2012,92000,CNG,Manual,5.0,3.0,Maruti
3075,Ford EcoSport 1.5 TDCi Trend Plus,Chennai,2016,20000,Diesel,Manual,5.0,7.9,Ford
3076,Hyundai i20 1.2 Magna,Mumbai,2011,52359,Petrol,Manual,5.0,3.25,Hyundai
3077,Honda City i VTEC V,Delhi,2016,17000,Petrol,Manual,5.0,8.25,Honda
3078,Nissan Micra Diesel XV,Kolkata,2011,39002,Diesel,Manual,5.0,2.85,Nissan
3079,Ford Figo Diesel EXI,Pune,2010,129986,Diesel,Manual,5.0,3.2,Ford
3080,Nissan Micra XL,Kolkata,2013,45000,Petrol,Manual,5.0,1.75,Nissan
3081,Maruti Swift VDI BSIV,Kolkata,2013,41300,Diesel,Manual,5.0,3.38,Maruti
3082,Honda Accord 2.4 MT,Ahmedabad,2009,82002,Petrol,Manual,5.0,5.75,Honda
3083,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2010,67000,Petrol,Automatic,5.0,4.7,Skoda
3084,Maruti Omni 8 Seater BSIV,Hyderabad,2017,21260,Petrol,Manual,5.0,2.9,Maruti
3085,Hyundai i20 Magna Optional 1.4 CRDi,Ahmedabad,2012,55362,Diesel,Manual,5.0,4.25,Hyundai
3086,Hyundai Creta 1.6 CRDi AT SX Plus,Chennai,2017,13000,Diesel,Automatic,5.0,14.5,Hyundai
3087,Maruti Swift VDI BSIV,Kochi,2016,45725,Diesel,Manual,5.0,5.34,Maruti
3088,Maruti Swift LDI BSIV,Jaipur,2014,105000,Diesel,Manual,5.0,3.85,Maruti
3089,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2009,156056,Diesel,Manual,8.0,8.5,Toyota
3090,Hyundai Xcent 1.1 CRDi Base,Mumbai,2016,135000,Diesel,Manual,5.0,4.2,Hyundai
3091,Maruti Ertiga Paseo VDI,Delhi,2016,67000,Diesel,Manual,7.0,6.75,Maruti
3092,Ford Endeavour 3.2 Trend AT 4X4,Jaipur,2016,90000,Diesel,Automatic,7.0,26.0,Ford
3093,Hyundai i20 1.4 Sportz,Coimbatore,2019,32251,Diesel,Manual,5.0,8.61,Hyundai
3094,Maruti Zen Estilo LXI BS IV,Mumbai,2009,47000,Petrol,Manual,5.0,1.46,Maruti
3095,Maruti Ritz VDi,Mumbai,2011,75308,Diesel,Manual,5.0,2.8,Maruti
3096,Maruti Alto K10 LXI CNG Optional,Kochi,2018,44202,CNG,Manual,4.0,4.0,Maruti
3097,Honda City 1.5 S MT,Mumbai,2014,58000,Petrol,Manual,5.0,5.47,Honda
3098,Maruti Swift Dzire ZXi,Mumbai,2009,60000,Petrol,Manual,5.0,2.45,Maruti
3099,BMW X1 sDrive 20d Sportline,Hyderabad,2014,45000,Diesel,Automatic,5.0,21.5,BMW
3100,Tata Manza Aqua Safire,Mumbai,2010,41195,Petrol,Manual,5.0,1.38,Tata
3101,Mahindra XUV500 W10 2WD,Chennai,2016,89000,Diesel,Manual,7.0,13.5,Mahindra
3102,Hyundai i10 Sportz AT,Bangalore,2009,60510,Petrol,Automatic,5.0,3.1,Hyundai
3103,Maruti Baleno Sigma 1.2,Mumbai,2016,8500,Petrol,Manual,5.0,5.49,Maruti
3104,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,35981,Diesel,Manual,5.0,9.51,Maruti
3105,Ford Figo Petrol ZXI,Mumbai,2012,23152,Petrol,Manual,5.0,2.39,Ford
3106,Maruti Wagon R CNG LXI,Delhi,2014,74663,CNG,Manual,5.0,3.25,Maruti
3107,Volkswagen Vento Sport 1.2 TSI AT,Mumbai,2014,61529,Petrol,Automatic,5.0,5.65,Volkswagen
3108,Mahindra Xylo D2 BS III,Ahmedabad,2010,91596,Diesel,Manual,7.0,1.85,Mahindra
3109,Porsche Cayenne Base,Kochi,2019,14298,Petrol,Automatic,5.0,2.02,Porsche
3110,Maruti Swift Dzire VDi,Hyderabad,2013,83327,Diesel,Manual,5.0,5.8,Maruti
3111,Volkswagen Polo 1.2 MPI Highline Plus,Hyderabad,2017,22857,Petrol,Manual,5.0,6.9,Volkswagen
3112,Hyundai Verna 1.6 VTVT,Chennai,2013,34620,Petrol,Manual,5.0,5.35,Hyundai
3113,Hyundai i10 Era 1.1,Bangalore,2010,56000,Petrol,Manual,5.0,2.85,Hyundai
3114,Mercedes-Benz E-Class E250 CDI Launch Edition,Chennai,2014,81000,Diesel,Automatic,5.0,22.75,Mercedes-Benz
3115,Maruti Zen LXI,Jaipur,1998,95150,Petrol,Manual,5.0,0.45,Maruti
3116,Hyundai i10 Sportz,Coimbatore,2013,32776,Petrol,Manual,5.0,4.64,Hyundai
3117,Honda Amaze S i-Dtech,Coimbatore,2016,51587,Diesel,Manual,5.0,5.27,Honda
3118,Tata Safari Storme VX,Jaipur,2016,36000,Diesel,Manual,7.0,10.0,Tata
3119,Honda Brio 1.2 S MT,Mumbai,2015,22000,Petrol,Manual,5.0,3.95,Honda
3120,Hyundai i20 Asta,Kochi,2010,30754,Petrol,Manual,5.0,3.38,Hyundai
3121,Volkswagen Jetta 2012-2014 1.4 TSI,Coimbatore,2018,37109,Petrol,Manual,5.0,16.8,Volkswagen
3122,Honda Jazz Select Edition,Kolkata,2010,45000,Petrol,Manual,5.0,1.99,Honda
3123,Hyundai Grand i10 Sportz,Coimbatore,2017,33284,Petrol,Manual,5.0,5.84,Hyundai
3124,Jaguar XF Diesel,Coimbatore,2016,55115,Diesel,Automatic,5.0,36.15,Jaguar
3125,Jaguar XF 2.2 Litre Luxury,Kolkata,2014,18000,Diesel,Automatic,5.0,25.7,Jaguar
3126,Mahindra XUV500 W8 2WD,Coimbatore,2013,130790,Diesel,Manual,7.0,9.24,Mahindra
3127,Maruti S Cross DDiS 320 Alpha,Delhi,2015,16607,Diesel,Manual,5.0,7.65,Maruti
3128,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,32205,Diesel,Automatic,5.0,25.31,Audi
3129,Renault Duster 110PS Diesel RxZ,Delhi,2013,67000,Diesel,Manual,5.0,4.75,Renault
3130,Maruti Swift Dzire VXI,Coimbatore,2014,57676,Petrol,Manual,5.0,6.69,Maruti
3131,Volkswagen Polo Petrol Trendline 1.2L,Mumbai,2012,41000,Petrol,Manual,5.0,3.1,Volkswagen
3132,Maruti Omni 8 Seater BSII,Jaipur,2012,65000,Petrol,Manual,8.0,1.55,Maruti
3133,Hyundai Grand i10 1.2 Kappa Magna AT,Coimbatore,2019,12153,Petrol,Automatic,5.0,6.84,Hyundai
3134,Tata Nano Twist XT,Hyderabad,2014,16810,Petrol,Manual,4.0,1.6,Tata
3135,Audi A4 30 TFSI Premium Plus,Kochi,2017,61221,Petrol,Automatic,5.0,21.73,Audi
3136,Volkswagen Polo 1.2 MPI Highline,Mumbai,2015,22000,Petrol,Manual,5.0,4.75,Volkswagen
3137,Maruti Alto 800 LXI,Chennai,2015,63714,Petrol,Manual,5.0,2.45,Maruti
3138,Mini Cooper 5 DOOR D,Kochi,2019,14857,Diesel,Automatic,5.0,31.55,Mini
